,Player,Season,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Team
0,ADD,S8,TOP,96,0.323,2.0,1.2,2.4,3.6,8.9,377,0.612,0.259,457,1.41,0.67,0.22,0.2,-80,-5,-181,0.198,0.198,0,11.0,MVP
1,Brook,S8,TOP,1,0.0,3.5,3.0,2.0,4.0,8.8,410,0.7,0.244,359,1.49,0.47,0.42,0.1,771,16,-38,1.0,0.0,0,0.0,Hanwha Life eSports
2,Crazy,S8,TOP,92,0.293,2.7,1.7,1.8,3.0,8.7,371,0.573,0.25,387,1.19,0.59,0.2,0.17,-92,1,-79,0.141,0.13,0,11.0,bbq Olivers
3,CuVee,S8,TOP,105,0.571,2.5,1.7,2.1,3.4,9.2,397,0.603,0.24,420,1.27,0.58,0.21,0.21,-86,-3,-41,0.181,0.114,0,19.0,Gen.G eSports
4,CuVee,S8,TOP,105,0.571,2.5,1.7,2.1,3.4,9.2,397,0.603,0.24,420,1.27,0.58,0.21,0.21,-86,-3,-41,0.181,0.114,0,19.0,KSV eSports
5,Khan,S8,TOP,83,0.699,3.8,2.4,1.7,4.1,9.6,425,0.607,0.269,486,1.4,0.67,0.25,0.23,240,7,159,0.229,0.12,1,19.0,Kingzone DragonX
6,Kiin,S8,TOP,106,0.613,3.9,2.2,1.5,3.8,9.7,419,0.616,0.257,433,1.25,0.58,0.2,0.16,147,4,135,0.198,0.132,0,23.0,Afreeca Freecs
7,Kiin,S8,TOP,106,0.613,3.9,2.2,1.5,3.8,9.7,419,0.616,0.257,433,1.25,0.58,0.2,0.16,147,4,135,0.198,0.132,0,23.0,Ever8 Winners
8,Lindarang,S8,TOP,90,0.522,2.6,1.8,2.2,3.9,8.6,386,0.6,0.237,412,1.09,0.57,0.13,0.13,22,-4,-134,0.322,0.144,0,9.0,Hanwha Life eSports
9,Lindarang,S8,TOP,90,0.522,2.6,1.8,2.2,3.9,8.6,386,0.6,0.237,412,1.09,0.57,0.13,0.13,22,-4,-134,0.322,0.144,0,9.0,ROX Tigers
10,MaHa,S8,ADC,17,0.059,1.8,1.1,2.1,2.7,9.6,383,0.645,0.259,487,1,0.43,0.3,0.12,-222,-9,-487,0.059,0.059,0,0.0,MVP
11,MaHa,S8,ADC,17,0.059,1.8,1.1,2.1,2.7,9.6,383,0.645,0.259,487,1,0.43,0.3,0.12,-222,-9,-487,0.059,0.059,0,0.0,MVP
12,Max,S8,SUPPORT,93,0.323,2.4,0.5,2.3,4.8,1.9,253,0.67,0.086,150,2.25,1.2,0.34,0.31,61,0,257,0.194,0.108,0,1.0,MVP
13,Max,S8,SUPPORT,93,0.323,2.4,0.5,2.3,4.8,1.9,253,0.67,0.086,150,2.25,1.2,0.34,0.31,61,0,257,0.194,0.108,0,1.0,MVP
14,Mong,S8,TOP,1,0.0,1.0,2.0,3.0,1.0,8.6,364,0.75,0.102,137,0.97,0.38,0.0,0.08,349,-7,-810,1.0,0.0,0,0.0,Gen.G eSports
15,Nuguri,S8,TOP,6,0.833,4.8,2.5,2.0,7.0,9.6,438,0.664,0.286,563,1.41,0.54,0.19,0.15,270,10,244,0.167,0.167,0,0.0,DAMWON Gaming
16,Rascal,S8,TOP,11,0.636,5.7,2.6,1.2,4.1,9.0,419,0.6,0.209,391,1.1,0.65,0.16,0.22,455,-1,242,0.273,0.0,0,3.0,Kingzone DragonX
17,Roach,S8,TOP,51,0.255,2.0,1.2,2.1,2.9,9.1,375,0.508,0.226,362,1.12,0.65,0.19,0.18,-228,-2,-78,0.078,0.098,0,10.0,Kongdoo Monster
18,Smeb,S8,TOP,98,0.653,4.0,2.3,1.7,4.4,9.3,411,0.642,0.252,468,1.25,0.59,0.21,0.14,262,6,210,0.276,0.092,0,20.0,KT Rolster
19,SoHwan,S8,TOP,89,0.371,2.8,1.2,1.7,3.6,9.0,378,0.56,0.22,366,1.18,0.58,0.17,0.14,-13,2,-23,0.191,0.112,0,12.0,Jin Air Green Wings
20,SoaR,S8,TOP,9,0.667,5.2,2.2,1.4,5.2,8.7,387,0.565,0.235,409,1.06,0.48,0.13,0.16,-185,0,-20,0.0,0.111,0,0.0,Team Battlecomics
21,Sw0rd,S8,TOP,62,0.645,4.0,2.4,1.7,4.2,9.1,400,0.6,0.225,396,1.21,0.55,0.2,0.16,-111,-3,56,0.129,0.145,0,10.0,Griffin
22,Thal,S8,TOP,76,0.5,2.7,1.9,2.1,3.8,9.2,404,0.584,0.242,451,1.17,0.54,0.16,0.16,-56,-3,7,0.197,0.132,0,10.0,SK Telecom T1
23,Untara,S8,TOP,26,0.385,2.4,1.2,1.8,3.2,8.7,368,0.507,0.171,272,1.22,0.66,0.21,0.17,-389,-9,-209,0.077,0.192,0,0.0,SK Telecom T1
24,WooFe,S8,TOP,6,0.333,2.3,1.2,2.0,3.5,8.8,349,0.419,0.218,297,1.28,0.66,0.2,0.21,-578,9,186,0.0,0.167,0,0.0,Ever8 Winners
25,kingen,S8,TOP,1,0.0,1.0,1.0,3.0,2.0,8.0,324,1.0,0.108,141,1.52,0.63,0.2,0.32,-735,-23,-847,0.0,1.0,0,0.0,KT Rolster
26,Aiming,S8,ADC,41,0.61,5.1,3.0,1.5,4.6,9.8,430,0.699,0.255,437,1.46,0.59,0.37,0.2,-1,-3,-113,0.317,0.122,0,3.0,Afreeca Freecs
27,Aiming,S8,ADC,41,0.61,5.1,3.0,1.5,4.6,9.8,430,0.699,0.255,437,1.46,0.59,0.37,0.2,-1,-3,-113,0.317,0.122,0,3.0,Afreeca Freecs
28,Ambition,S8,MID,1,0.0,0.5,0.0,2.0,1.0,2.2,204,1.0,0.052,45,2.13,1.13,0.32,0.55,-2627,-134,-3840,0.0,0.0,0,0.0,Gen.G eSports
29,Ambition,S8,MID,1,0.0,0.5,0.0,2.0,1.0,2.2,204,1.0,0.052,45,2.13,1.13,0.32,0.55,-2627,-134,-3840,0.0,0.0,0,0.0,Gen.G eSports
30,Ambition,S8,MID,1,0.0,0.5,0.0,2.0,1.0,2.2,204,1.0,0.052,45,2.13,1.13,0.32,0.55,-2627,-134,-3840,0.0,0.0,0,0.0,KSV eSports
31,Bang,S8,ADC,98,0.469,7.0,2.7,1.0,4.1,10.4,431,0.704,0.335,613,1.37,0.54,0.31,0.15,-53,-2,46,0.214,0.041,0,9.0,SK Telecom T1
32,Bang,S8,ADC,98,0.469,7.0,2.7,1.0,4.1,10.4,431,0.704,0.335,613,1.37,0.54,0.31,0.15,-53,-2,46,0.214,0.041,0,9.0,SK Telecom T1
33,Beyond,S8,JUNGLE,52,0.365,2.1,1.0,2.6,4.6,5.1,306,0.672,0.089,166,2.49,1.24,0.61,0.4,36,1,142,0.462,0.077,0,1.0,MVP
34,Blossom,S8,JUNGLE,23,0.522,2.2,1.5,3.1,5.3,5.6,328,0.681,0.112,200,2.77,1.35,0.64,0.29,-239,0,-186,0.435,0.217,0,2.0,SK Telecom T1
35,Cuzz,S8,MID,1,1.0,3.5,0.0,4.0,14.0,1.0,267,0.737,0.039,106,3.22,1.15,0.62,0.4,-3049,-153,-4100,0.0,0.0,0,0.0,Kingzone DragonX
36,Cuzz,S8,MID,1,1.0,3.5,0.0,4.0,14.0,1.0,267,0.737,0.039,106,3.22,1.15,0.62,0.4,-3049,-153,-4100,0.0,0.0,0,0.0,Kingzone DragonX
37,Haru,S8,JUNGLE,45,0.622,3.1,2.0,2.0,4.3,6.0,350,0.701,0.124,218,2.03,0.79,0.46,0.32,60,-1,108,0.378,0.111,0,9.0,Gen.G eSports
38,Haru,S8,JUNGLE,45,0.622,3.1,2.0,2.0,4.3,6.0,350,0.701,0.124,218,2.03,0.79,0.46,0.32,60,-1,108,0.378,0.111,0,9.0,KSV eSports
39,Hoglet,S8,JUNGLE,2,0.5,2.4,0.5,2.5,5.5,4.1,256,0.893,0.095,142,1.71,0.51,0.7,0.38,-588,-12,-952,0.5,0.0,0,0.0,Ever8 Winners
40,KaKAO,S8,JUNGLE,4,0.0,0.6,0.3,2.3,1.0,4.5,259,0.458,0.071,80,1.39,0.61,0.36,0.41,-1159,-30,-824,0.0,0.0,0,0.0,Jin Air Green Wings
41,Kuma,S8,JUNGLE,4,0.25,2.0,0.8,3.3,5.8,4.1,262,0.919,0.099,124,1.97,1.25,0.51,0.48,-617,-12,-500,0.25,0.25,0,0.0,Ever8 Winners
42,Mightybear,S8,JUNGLE,3,0.0,2.5,1.0,2.0,4.0,4.9,308,0.833,0.131,186,2.8,1.42,0.55,0.3,-166,-6,-521,0.667,0.0,0,0.0,Hanwha Life eSports
43,Mightybear,S8,JUNGLE,3,0.0,2.5,1.0,2.0,4.0,4.9,308,0.833,0.131,186,2.8,1.42,0.55,0.3,-166,-6,-521,0.667,0.0,0,0.0,ROX Tigers
44,Mowgli,S8,JUNGLE,25,0.6,5.8,1.3,1.3,6.2,4.9,316,0.721,0.102,175,2.18,1.05,0.56,0.52,-110,-5,-43,0.4,0.04,0,0.0,Afreeca Freecs
45,OnFleek,S8,JUNGLE,9,0.667,3.4,2.4,2.2,5.1,5.6,345,0.717,0.161,283,1.9,0.39,0.54,0.32,426,8,363,0.444,0.0,0,2.0,Team Battlecomics
46,Peanut,S8,MID,1,1.0,9.0,1.0,1.0,8.0,0.9,281,0.6,0.066,100,2.63,1.53,0.42,0.39,-2085,-114,-2110,0.0,0.0,0,0.0,Kingzone DragonX
47,Peanut,S8,MID,1,1.0,9.0,1.0,1.0,8.0,0.9,281,0.6,0.066,100,2.63,1.53,0.42,0.39,-2085,-114,-2110,0.0,0.0,0,0.0,Kingzone DragonX
48,PraY,S8,ADC,92,0.685,5.1,2.8,1.4,4.5,10.3,438,0.634,0.295,544,1.34,0.48,0.4,0.11,137,6,206,0.207,0.054,0,5.0,Kingzone DragonX
49,PraY,S8,ADC,92,0.685,5.1,2.8,1.4,4.5,10.3,438,0.634,0.295,544,1.34,0.48,0.4,0.11,137,6,206,0.207,0.054,0,5.0,Kingzone DragonX
50,Punch,S8,JUNGLE,6,0.833,5.0,1.5,2.2,9.3,4.5,310,0.756,0.092,172,1.67,0.56,0.49,0.46,-341,-6,-452,0.333,0.5,0,0.0,DAMWON Gaming
51,Raise,S8,JUNGLE,40,0.3,1.9,0.9,3.0,4.7,4.6,292,0.749,0.102,165,2.47,1.35,0.5,0.41,-188,-7,-258,0.325,0.2,0,1.0,Kongdoo Monster
52,Ruler,S8,ADC,105,0.571,4.1,2.8,1.5,3.2,10.8,443,0.7,0.321,566,1.58,0.44,0.54,0.2,241,7,177,0.143,0.171,1,3.0,Gen.G eSports
53,Ruler,S8,ADC,105,0.571,4.1,2.8,1.5,3.2,10.8,443,0.7,0.321,566,1.58,0.44,0.54,0.2,241,7,177,0.143,0.171,1,3.0,Gen.G eSports
54,Ruler,S8,ADC,105,0.571,4.1,2.8,1.5,3.2,10.8,443,0.7,0.321,566,1.58,0.44,0.54,0.2,241,7,177,0.143,0.171,1,3.0,KSV eSports
55,Rush,S8,JUNGLE,12,0.583,2.3,1.5,2.5,4.2,5.5,332,0.532,0.114,187,1.77,0.57,0.5,0.23,166,2,304,0.417,0.0,0,1.0,KT Rolster
56,Sangyoon,S8,ADC,87,0.517,4.5,2.6,1.4,3.6,10.6,438,0.627,0.285,504,1.15,0.37,0.34,0.1,-88,-3,-62,0.184,0.023,0,1.0,Hanwha Life eSports
57,Sangyoon,S8,ADC,87,0.517,4.5,2.6,1.4,3.6,10.6,438,0.627,0.285,504,1.15,0.37,0.34,0.1,-88,-3,-62,0.184,0.023,0,1.0,Hanwha Life eSports
58,Sangyoon,S8,ADC,87,0.517,4.5,2.6,1.4,3.6,10.6,438,0.627,0.285,504,1.15,0.37,0.34,0.1,-88,-3,-62,0.184,0.023,0,1.0,ROX Tigers
59,Score,S8,JUNGLE,87,0.655,4.1,1.8,1.8,5.7,5.3,330,0.736,0.112,206,2.31,0.88,0.58,0.29,155,2,189,0.506,0.069,0,6.0,KT Rolster
60,SeongHwan,S8,MID,3,0.667,3.5,0.3,2.7,9.0,1.9,247,0.722,0.047,86,2.5,1.23,0.41,0.44,-2580,-113,-3259,0.667,0.0,0,0.0,Hanwha Life eSports
61,SeongHwan,S8,MID,3,0.667,3.5,0.3,2.7,9.0,1.9,247,0.722,0.047,86,2.5,1.23,0.41,0.44,-2580,-113,-3259,0.667,0.0,0,0.0,Hanwha Life eSports
62,SeongHwan,S8,MID,3,0.667,3.5,0.3,2.7,9.0,1.9,247,0.722,0.047,86,2.5,1.23,0.41,0.44,-2580,-113,-3259,0.667,0.0,0,0.0,ROX Tigers
63,Tarzan,S8,MID,3,0.333,3.1,0.0,2.3,7.3,2.3,234,0.651,0.059,95,2.3,1.53,0.35,0.41,-2208,-120,-3905,0.0,0.0,0,0.0,Griffin
64,Tarzan,S8,MID,3,0.333,3.1,0.0,2.3,7.3,2.3,234,0.651,0.059,95,2.3,1.53,0.35,0.41,-2208,-120,-3905,0.0,0.0,0,0.0,Griffin
65,Trick,S8,JUNGLE,77,0.325,2.5,1.3,2.3,4.5,5.0,306,0.735,0.113,175,1.8,0.76,0.4,0.27,-132,-4,45,0.377,0.182,0,4.0,bbq Olivers
66,U Jun,S8,JUNGLE,11,0.091,2.2,0.8,2.5,4.6,4.6,280,0.789,0.1,156,2.37,1.14,0.53,0.36,-75,0,-81,0.273,0.091,0,2.0,Kongdoo Monster
67,UmTi,S8,JUNGLE,85,0.388,2.8,1.4,2.3,4.9,5.1,309,0.704,0.118,202,2.63,1.2,0.64,0.33,2,0,-75,0.412,0.118,0,4.0,Jin Air Green Wings
68,Viper,S8,ADC,59,0.661,7.4,2.7,1.1,5.3,10.2,431,0.698,0.272,474,1.31,0.44,0.34,0.14,-45,1,26,0.288,0.051,0,3.0,Griffin
69,Viper,S8,ADC,59,0.661,7.4,2.7,1.1,5.3,10.2,431,0.698,0.272,474,1.31,0.44,0.34,0.14,-45,1,26,0.288,0.051,0,3.0,Griffin
70,Wolf,S8,SUPPORT,38,0.395,3.1,0.8,2.1,5.5,1.8,248,0.724,0.073,125,2.35,1.28,0.48,0.43,1,2,37,0.211,0.158,0,1.0,SK Telecom T1
71,Wolf,S8,SUPPORT,38,0.395,3.1,0.8,2.1,5.5,1.8,248,0.724,0.073,125,2.35,1.28,0.48,0.43,1,2,37,0.211,0.158,0,1.0,SK Telecom T1
72,Yondu,S8,JUNGLE,49,0.265,2.4,1.5,2.3,4.0,4.7,291,0.756,0.11,173,1.52,0.59,0.37,0.32,-237,-5,-350,0.367,0.082,0,0.0,MVP
73,bono,S8,JUNGLE,15,0.133,1.7,0.9,3.4,4.9,4.7,295,0.714,0.128,195,2.46,1.09,0.56,0.3,-423,-18,-246,0.333,0.067,0,2.0,bbq Olivers
74,ALL IN,S8,MID,6,0.333,2.5,1.8,2.2,3.5,9.8,383,0.677,0.329,444,1,0.66,0.2,0.3,-1,8,329,0.0,0.0,0,1.0,Ever8 Winners
75,Bdd,S8,ADC,2,1.0,7.7,3.0,1.5,8.5,8.4,398,0.64,0.305,644,0.82,0.49,0.06,0.18,647,4,675,0.5,0.0,0,2.0,Kingzone DragonX
76,Bdd,S8,ADC,2,1.0,7.7,3.0,1.5,8.5,8.4,398,0.64,0.305,644,0.82,0.49,0.06,0.18,647,4,675,0.5,0.0,0,2.0,Kingzone DragonX
77,Bdd,S8,ADC,2,1.0,7.7,3.0,1.5,8.5,8.4,398,0.64,0.305,644,0.82,0.49,0.06,0.18,647,4,675,0.5,0.0,0,2.0,Kingzone DragonX
78,Chovy,S8,ADC,2,0.5,6.7,0.5,1.5,9.5,6.3,312,0.476,0.154,245,0.72,0.35,0.19,0.08,-1564,-26,-700,0.0,0.5,0,0.0,Griffin
79,Chovy,S8,ADC,2,0.5,6.7,0.5,1.5,9.5,6.3,312,0.476,0.154,245,0.72,0.35,0.19,0.08,-1564,-26,-700,0.0,0.5,0,0.0,Griffin
80,Crown,S8,MID,62,0.548,2.6,1.6,2.2,4.0,9.4,384,0.672,0.277,486,1.33,0.67,0.29,0.28,-43,3,46,0.21,0.129,0,6.0,Gen.G eSports
81,Crown,S8,MID,62,0.548,2.6,1.6,2.2,4.0,9.4,384,0.672,0.277,486,1.33,0.67,0.29,0.28,-43,3,46,0.21,0.129,0,6.0,KSV eSports
82,Dove,S8,MID,9,0.667,4.2,3.2,2.0,5.1,9.4,416,0.734,0.235,399,1.32,0.57,0.26,0.27,200,3,21,0.333,0.111,0,0.0,Team Battlecomics
83,Edge,S8,MID,51,0.255,2.8,2.3,2.0,3.2,9.3,376,0.717,0.273,448,1,0.59,0.23,0.2,-112,-2,-56,0.137,0.137,0,3.0,Kongdoo Monster
84,Faker,S8,ADC,1,1.0,6.0,1.0,1.0,5.0,11.1,453,1.0,0.376,514,1.25,0.4,0.2,0.08,472,18,1074,1.0,0.0,0,0.0,SK Telecom T1
85,Faker,S8,ADC,1,1.0,6.0,1.0,1.0,5.0,11.1,453,1.0,0.376,514,1.25,0.4,0.2,0.08,472,18,1074,1.0,0.0,0,0.0,SK Telecom T1
86,Fly,S8,ADC,1,0.0,0.3,0.0,3.0,1.0,4.8,252,1.0,0.168,147,0.81,0.45,0.23,0.26,-1830,-61,-926,0.0,1.0,0,0.0,Gen.G eSports
87,Fly,S8,ADC,1,0.0,0.3,0.0,3.0,1.0,4.8,252,1.0,0.168,147,0.81,0.45,0.23,0.26,-1830,-61,-926,0.0,1.0,0,0.0,Gen.G eSports
88,Grace,S8,MID,80,0.375,3.3,2.2,1.8,3.5,9.5,387,0.652,0.272,455,1.02,0.5,0.2,0.16,-157,2,-119,0.225,0.1,0,7.0,Jin Air Green Wings
89,Ian,S8,MID,101,0.317,3.2,2.2,1.7,3.4,9.2,381,0.666,0.252,448,1.27,0.63,0.3,0.23,-15,-2,-180,0.257,0.04,0,6.0,MVP
90,Justice,S8,MID,9,0.333,3.9,1.9,1.6,4.1,9.0,367,0.611,0.205,369,1.25,0.74,0.39,0.35,-276,-18,-380,0.333,0.222,0,0.0,Jin Air Green Wings
91,Kuzan,S8,MID,3,0.0,0.6,0.0,3.0,1.7,8.8,354,0.3,0.251,352,1.23,0.61,0.3,0.21,-472,-6,-694,0.0,0.333,0,0.0,Hanwha Life eSports
92,Kuzan,S8,MID,3,0.0,0.6,0.0,3.0,1.7,8.8,354,0.3,0.251,352,1.23,0.61,0.3,0.21,-472,-6,-694,0.0,0.333,0,0.0,ROX Tigers
93,Lava,S8,ADC,3,0.667,4.7,3.0,2.3,8.0,6.9,360,0.856,0.201,413,1.22,0.44,0.25,0.15,-597,-30,-111,0.667,0.0,0,1.0,Hanwha Life eSports
94,Lava,S8,ADC,3,0.667,4.7,3.0,2.3,8.0,6.9,360,0.856,0.201,413,1.22,0.44,0.25,0.15,-597,-30,-111,0.667,0.0,0,1.0,Hanwha Life eSports
95,Lava,S8,ADC,3,0.667,4.7,3.0,2.3,8.0,6.9,360,0.856,0.201,413,1.22,0.44,0.25,0.15,-597,-30,-111,0.667,0.0,0,1.0,ROX Tigers
96,PawN,S8,MID,32,0.594,4.2,2.6,1.8,4.7,10.0,419,0.75,0.261,508,1.31,0.63,0.37,0.22,12,-3,-98,0.344,0.094,0,4.0,KT Rolster
97,Pirean,S8,MID,19,0.526,3.2,2.4,1.8,3.4,9.5,396,0.663,0.239,419,1.3,0.56,0.25,0.22,71,-1,-57,0.158,0.158,0,3.0,SK Telecom T1
98,Rather,S8,ADC,1,0.0,0.5,0.0,2.0,1.0,8.4,311,0.5,0.298,431,0.86,0.39,0.18,0.11,-514,6,-591,0.0,0.0,0,0.0,Griffin
99,Rather,S8,ADC,1,0.0,0.5,0.0,2.0,1.0,8.4,311,0.5,0.298,431,0.86,0.39,0.18,0.11,-514,6,-591,0.0,0.0,0,0.0,Griffin
100,ShowMaker,S8,MID,6,0.833,3.6,4.0,3.0,6.8,8.9,404,0.705,0.268,522,1.22,0.53,0.19,0.23,-244,-4,146,0.167,0.0,0,2.0,DAMWON Gaming
101,Tempt,S8,MID,92,0.293,3.5,2.3,1.6,3.3,9.7,393,0.666,0.3,470,1.17,0.58,0.23,0.21,46,2,-34,0.207,0.076,0,17.0,bbq Olivers
102,Ucal,S8,MID,67,0.672,4.1,2.6,1.7,4.1,9.7,412,0.63,0.243,440,1.12,0.53,0.19,0.2,127,0,38,0.284,0.03,0,12.0,KT Rolster
103,Clever,S8,ADC,1,0.0,4.0,3.0,2.0,5.0,9.3,426,0.8,0.286,421,1.25,0.5,0.1,0.05,54,1,-726,0.0,0.0,0,0.0,Hanwha Life eSports
104,Deft,S8,ADC,99,0.646,4.5,2.6,1.5,4.2,10.3,436,0.633,0.319,597,1.35,0.51,0.37,0.15,258,3,136,0.232,0.061,0,3.0,KT Rolster
105,Ghost,S8,ADC,86,0.314,2.7,2.0,1.9,3.1,9.7,396,0.606,0.263,419,1.22,0.5,0.35,0.18,-303,-9,-202,0.209,0.105,0,1.0,bbq Olivers
106,Hollow,S8,ADC,9,0.667,2.5,2.4,2.7,4.3,10.6,435,0.694,0.278,466,1.35,0.31,0.42,0.1,-87,1,351,0.222,0.111,0,0.0,Team Battlecomics
107,HyBrid,S8,ADC,6,0.333,2.9,3.5,2.2,2.8,10.9,427,0.729,0.264,387,1.06,0.39,0.32,0.04,-746,-23,-610,0.5,0.167,0,3.0,Ever8 Winners
108,Kramer,S8,ADC,64,0.609,5.9,2.7,1.1,4.0,10.7,447,0.721,0.288,490,1.61,0.57,0.51,0.19,76,-4,-9,0.375,0.031,0,5.0,Afreeca Freecs
109,Kramer,S8,ADC,64,0.609,5.9,2.7,1.1,4.0,10.7,447,0.721,0.288,490,1.61,0.57,0.51,0.19,76,-4,-9,0.375,0.031,0,5.0,Afreeca Freecs
110,Leo,S8,ADC,3,0.333,4.8,1.7,1.3,4.7,9.2,405,0.706,0.283,475,1.11,0.55,0.22,0.1,-132,-9,207,0.0,0.0,0,2.0,SK Telecom T1
111,Nuclear,S8,ADC,6,0.833,9.4,5.5,1.2,5.5,10.3,460,0.717,0.278,548,1.36,0.47,0.35,0.2,-116,-7,-452,0.0,0.0,0,0.0,DAMWON Gaming
112,Pilot,S8,ADC,84,0.369,4.2,2.6,1.4,3.4,10.5,424,0.705,0.31,543,1.29,0.42,0.33,0.1,-116,0,-107,0.155,0.071,1,3.0,MVP
113,Prince,S8,ADC,6,0.0,1.1,0.7,3.5,3.3,8.7,362,0.515,0.256,379,1.03,0.54,0.19,0.19,119,5,175,0.333,0.0,0,0.0,bbq Olivers
114,Ssol,S8,ADC,51,0.255,3.0,2.1,1.8,3.4,10.2,406,0.695,0.323,536,1.33,0.45,0.48,0.15,-67,-3,-234,0.118,0.098,0,2.0,Kongdoo Monster
115,Teddy,S8,ADC,89,0.371,4.2,3.1,1.5,3.2,11.1,439,0.688,0.33,584,1.32,0.43,0.43,0.13,19,6,48,0.213,0.067,2,6.0,Jin Air Green Wings
116,Aegis,S8,SUPPORT,1,0.0,5.0,0.0,2.0,10.0,1.7,218,0.909,0.064,104,1.86,1.23,0.2,0.5,-366,15,-424,0.0,0.0,0,0.0,Ever8 Winners
117,Asper,S8,SUPPORT,1,0.0,3.0,1.0,2.0,5.0,2.0,263,0.6,0.044,65,3.31,1.98,0.6,0.7,-579,20,146,0.0,0.0,0,0.0,Hanwha Life eSports
118,CoreJJ,S8,SUPPORT,106,0.566,3.8,0.5,1.7,5.7,1.7,248,0.753,0.073,124,2.56,1.49,0.42,0.49,-11,-2,-56,0.189,0.085,0,1.0,Gen.G eSports
119,CoreJJ,S8,SUPPORT,106,0.566,3.8,0.5,1.7,5.7,1.7,248,0.753,0.073,124,2.56,1.49,0.42,0.49,-11,-2,-56,0.189,0.085,0,1.0,KSV eSports
120,Effort,S8,SUPPORT,64,0.516,3.3,0.9,2.2,6.3,1.8,258,0.719,0.072,130,2.65,1.54,0.43,0.53,-11,-1,-135,0.25,0.094,0,1.0,SK Telecom T1
121,GorillA,S8,SUPPORT,94,0.691,3.7,0.6,2.0,6.6,1.7,259,0.63,0.073,131,2.41,1.5,0.39,0.49,-3,0,30,0.255,0.117,0,3.0,Kingzone DragonX
122,Hoit,S8,SUPPORT,6,0.833,7.7,1.2,1.5,10.3,1.3,253,0.749,0.075,149,2.65,1.41,0.44,0.46,-62,-5,-18,0.167,0.0,0,0.0,DAMWON Gaming
